City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
438,Lorengau,NE,82.18,-2.0226,147.2712,
440,Santa Ana,NE,83.79,33.7456,-117.8678,
447,Nuevo Casas Grandes,NE,80.74,30.4167,-107.9167,
453,Karaton,NE,86.9,-6.3424,106.1045,
454,Springville,NE,78.82,40.1652,-111.6107,
455,Ambulu,NE,81.64,-8.345,113.6058,
456,Loa Janan,NE,84.13,-0.583,117.095,
460,Kangaba,NE,82.35,11.9333,-8.4167,
463,Tutoia,NE,79.52,-2.7619,-42.2744,
464,Hami,NE,78.62,42.8,93.45,
465,Naliya,NE,85.44,23.2667,68.8333,
469,Lahij,NE,81.68,13.1667,44.5833,
470,Sakakah,NE,83.84,29.9697,40.2064,
472,Ixtapa,NE,82.22,20.7,-105.2,
478,Alugan,NE,83.12,12.2188,125.4808,
479,Hirara,NE,80.17,24.8,125.2833,
480,Mount Isa,NE,80.37,-20.7333,139.5,
489,Cabedelo,NE,75.87,-6.9811,-34.8339,
491,Nanfeng,NE,79.03,23.7434,111.7959,
494,Tarakan,NE,87.3,3.3,117.6333,
495,Sola,NE,79.36,-13.8833,167.55,
498,Gizo,NE,82.51,-8.103,156.8419,
501,Luganville,NE,79.02,-15.5333,167.1667,
510,Atar,NE,86.83,20.5169,-13.0499,
516,Nara,NE,80.98,34.6851,135.8049,
518,Kushima,NE,78.15,31.4583,131.2333,
523,Paredon,NE,84.51,16.0333,-93.8667,
532,Independencia,NE,77.22,-5.3964,-40.3086,
533,Salalah,NE,82.49,17.0151,54.0924,
538,Vaitape,NE,78.42,-16.5167,-151.75,
541,Lompoc,NE,75.78,34.6391,-120.4579,
544,Harlingen,NE,83.34,26.1906,-97.6961,
547,Benemerito De Las Americas,NE,80.67,16.5167,-90.6439,
548,Laguna De Perlas,NE,79.27,12.3429,-83.6712,
550,Namangan,NE,75.65,40.9983,71.6726,
551,Dire,NE,80.19,12.2833,-10.9667,
552,Bonfim,NE,76.77,3.0833,-59.95,
555,Pishin,NE,77.18,30.5803,66.9961,
556,Port-Gentil,NE,79.0,-0.7193,8.7815,
557,Clearwater,NE,83.91,27.9659,-82.8001,
559,Umm Lajj,NE,89.13,25.0213,37.2685,
563,Atambua,NE,82.65,-9.1061,124.8925,
568,Kawalu,NE,79.2,-7.3817,108.2082,
572,Bima,NE,86.97,-8.4667,118.7167,
574,Axim,NE,78.6,4.8699,-2.2405,
575,Kidal,NE,89.1,18.4411,1.4078,
578,Nagua,NE,75.45,19.3832,-69.8474,
587,Gushikawa,NE,79.83,26.3544,127.8686,
588,Bend,NE,83.82,44.0582,-121.3153,
594,Matay,NE,78.06,28.419,30.7792,
595,Panalingaan,NE,84.61,8.7842,117.4231,
600,Padang,NE,78.85,-0.9492,100.3543,
601,Lamu,NE,76.77,-2.2717,40.902,
602,Itarema,NE,77.97,-2.9248,-39.9167,
604,Bandarbeyla,NE,78.85,9.4942,50.8122,
611,Cedar City,NE,77.18,37.6775,-113.0619,
612,Porto Velho,NE,77.05,-8.7619,-63.9039,
615,Rajula,NE,82.67,21.05,71.4333,
617,Roura,NE,76.96,4.7263,-52.3274,
619,Acapulco,NE,84.02,16.8634,-99.8901,
623,Sardarpur,NE,80.67,22.678,74.9484,
625,Bosaso,NE,89.28,11.2842,49.1816,
627,Aitape,NE,79.27,-3.1374,142.3475,
631,Namatanai,NE,83.73,-3.6667,152.4333,
635,Manacapuru,NE,77.58,-3.2997,-60.6206,
636,Wuwei,NE,76.32,37.9281,102.6414,
638,Pokhara,NE,75.99,28.2333,83.9833,
640,Gorontalo,NE,87.15,0.5412,123.0595,
646,Sulangan,NE,83.75,11.1373,123.7228,
652,Wana,NE,75.13,32.2989,69.5725,
656,Korla,NE,82.4,41.7597,86.1469,
657,Awbari,NE,83.52,26.5921,12.7805,
660,Sinnamary,NE,77.5,5.3833,-52.95,
662,Tomatlan,NE,80.6,19.9333,-105.25,
663,Kutum,NE,83.23,14.2,24.6667,
668,Guanare,NE,78.82,9.0418,-69.7421,
673,Puerto Carreno,NE,78.85,6.189,-67.4859,
675,Gigmoto,NE,87.64,13.7796,124.39,
682,Hays,NE,78.8,30.0502,-98.0336,
685,Buraydah,NE,84.25,26.326,43.975,
698,Phan Thiet,NE,88.48,10.9333,108.1,
701,Diffa,NE,86.97,13.3154,12.6113,
