City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Weather,Wind Speed
59,Kaitangata,60,NE,2021-06-01 02:08:35,63,-46.2817,169.8464,52.93,broken clouds,6.49
60,Maputo,3,NE,2021-06-01 02:05:00,85,-25.9653,32.5892,66.22,clear sky,7.0
61,Tasiilaq,30,NE,2021-06-01 02:08:35,85,65.6145,-37.6368,32.16,scattered clouds,2.21
62,Berezovyy,7,NE,2021-06-01 02:08:35,37,51.6667,135.7,71.06,clear sky,4.25
63,Juneau,100,NE,2021-06-01 02:04:09,98,58.3019,-134.4197,55.85,moderate rain,4.0
64,Upernavik,98,NE,2021-06-01 02:08:35,85,72.7868,-56.1549,30.56,overcast clouds,3.33
65,Longyearbyen,100,NE,2021-06-01 02:03:44,88,78.2186,15.6401,34.5,overcast clouds,3.85
66,Neepawa,84,NE,2021-06-01 02:08:36,51,50.2289,-99.4664,62.96,broken clouds,8.08
67,Hofn,90,NE,2021-06-01 02:08:36,89,64.2539,-15.2082,45.12,overcast clouds,3.06
68,Lokosovo,100,NE,2021-06-01 02:08:36,83,61.1333,74.8167,41.32,overcast clouds,11.56
69,Soma,100,NE,2021-06-01 02:08:36,92,39.1855,27.6094,60.98,overcast clouds,4.5
70,Cherskiy,81,NE,2021-06-01 02:08:37,21,68.75,161.3,66.43,broken clouds,9.84
71,Hermanus,42,NE,2021-06-01 02:08:37,81,-34.4187,19.2345,53.91,light rain,4.21
72,Port Hedland,57,NE,2021-06-01 02:08:37,35,-20.3167,118.5667,73.45,broken clouds,16.11
73,Abu Dhabi,5,NE,2021-06-01 02:05:48,66,24.4667,54.3667,86.02,clear sky,11.5
74,Yeppoon,79,NE,2021-06-01 02:08:37,68,-23.1333,150.7333,65.98,broken clouds,12.17
75,Gulmarg,93,NE,2021-06-01 02:08:38,74,34.049,74.3921,51.06,overcast clouds,1.5
76,Waingapu,98,NE,2021-06-01 02:08:38,65,-9.6567,120.2641,82.38,overcast clouds,6.58
77,Ribeira Grande,95,NE,2021-06-01 02:08:38,74,38.5167,-28.7,61.0,overcast clouds,17.49
78,Sorland,99,NE,2021-06-01 02:08:38,83,67.667,12.6934,47.97,overcast clouds,0.6
79,Nemuro,6,NE,2021-06-01 02:08:39,76,43.3236,145.575,44.76,clear sky,8.14
80,Busselton,64,NE,2021-06-01 02:08:39,80,-33.65,115.3333,55.09,broken clouds,6.53
81,Hilo,75,NE,2021-06-01 02:08:39,83,19.7297,-155.09,83.28,broken clouds,9.22
82,Saint-Pierre,0,NE,2021-06-01 02:08:39,70,-21.3393,55.4781,73.04,clear sky,6.91
83,La Colorada,100,NE,2021-06-01 02:08:39,80,8.0167,-80.9833,77.76,overcast clouds,4.27
84,Noumea,38,NE,2021-06-01 02:08:40,99,-22.2763,166.4572,75.0,scattered clouds,9.78
85,Vertientes,84,NE,2021-06-01 02:08:40,89,21.2594,-78.1464,75.81,broken clouds,13.18
86,Buin,65,NE,2021-06-01 02:08:40,37,-33.7333,-70.75,63.73,broken clouds,3.8
87,Katobu,97,NE,2021-06-01 02:08:40,62,-4.9408,122.5276,85.03,overcast clouds,5.57
88,Khatanga,100,NE,2021-06-01 02:08:41,77,71.9667,102.5,35.01,overcast clouds,8.52
89,Arlit,64,NE,2021-06-01 02:08:41,9,18.7369,7.3853,88.83,broken clouds,9.37
90,Murray Bridge,100,NE,2021-06-01 02:08:41,29,-35.1167,139.2667,67.12,light rain,8.12
91,Ninohe,55,NE,2021-06-01 02:08:42,46,40.2724,141.3061,67.5,broken clouds,5.28
92,Kapaa,75,NE,2021-06-01 02:08:42,71,22.0752,-159.319,83.48,broken clouds,1.01
93,Saldanha,3,NE,2021-06-01 02:08:42,83,-33.0117,17.9442,57.0,clear sky,4.83
94,Paka,99,NE,2021-06-01 02:08:42,77,4.6374,103.4368,84.36,overcast clouds,4.21
95,Nicoya,11,NE,2021-06-01 02:08:42,72,10.1483,-85.452,80.15,few clouds,9.98
96,Kununurra,66,NE,2021-06-01 02:14:17,37,-15.7667,128.7333,84.18,broken clouds,5.75
97,Finschhafen,100,NE,2021-06-01 02:08:43,91,-6.6024,147.8681,78.19,moderate rain,11.16
98,Sobolevo,7,NE,2021-06-01 02:08:43,80,54.4299,31.8996,39.27,clear sky,3.38
99,Arraial Do Cabo,100,NE,2021-06-01 02:08:43,91,-22.9661,-42.0278,71.28,moderate rain,8.63
100,Terrace,100,NE,2021-06-01 02:08:43,99,54.5163,-128.6035,56.43,moderate rain,2.44
101,Mahebourg,14,NE,2021-06-01 02:08:44,79,-20.4081,57.7,70.25,light rain,9.24
102,Oranjestad,20,NE,2021-06-01 02:08:44,74,12.524,-70.027,82.35,few clouds,20.71
103,Okato,84,NE,2021-06-01 02:08:44,65,-39.2,173.8833,56.43,broken clouds,7.2
104,San Jeronimo,89,NE,2021-06-01 02:08:44,84,-11.9472,-75.2829,47.71,light rain,3.22
105,Anadyr,0,NE,2021-06-01 02:08:45,46,64.75,177.4833,46.9,clear sky,10.6
106,Kalamb,57,NE,2021-06-01 02:08:45,78,19.05,73.95,76.48,broken clouds,5.3
107,Flin Flon,100,NE,2021-06-01 02:08:45,96,54.7682,-101.865,52.86,overcast clouds,4.79
108,Mar Del Plata,100,NE,2021-06-01 02:08:45,1,-38.0023,-57.5575,54.09,light rain,10.0
109,Abu Samrah,0,NE,2021-06-01 02:08:46,57,35.3029,37.1841,66.81,clear sky,14.36
110,Bethel,1,NE,2021-06-01 02:05:23,87,41.3712,-73.414,57.72,clear sky,4.61
111,Georgetown,20,NE,2021-06-01 02:08:46,80,5.4112,100.3354,85.95,few clouds,3.0
112,Saint George,1,NE,2021-06-01 02:08:19,9,37.1041,-113.5841,95.47,clear sky,1.01
113,Oxford,51,NE,2021-06-01 02:04:48,83,51.7522,-1.256,54.48,broken clouds,4.5
114,Nikolskoye,67,NE,2021-06-01 02:08:46,89,59.7035,30.7861,48.09,broken clouds,3.89
115,Mundo Nuevo,17,NE,2021-06-01 02:08:46,78,18.7,-95.5,82.81,few clouds,16.02
116,Tiksi,7,NE,2021-06-01 02:08:47,65,71.6872,128.8694,49.57,clear sky,6.44
117,Richards Bay,100,NE,2021-06-01 02:08:47,75,-28.783,32.0377,65.88,overcast clouds,12.15
118,Hithadhoo,82,NE,2021-06-01 02:08:47,71,-0.6,73.0833,83.75,broken clouds,15.93
119,Abu Kamal,0,NE,2021-06-01 02:08:48,25,34.4506,40.9171,79.9,clear sky,10.09
120,Mirebalais,100,NE,2021-06-01 02:08:48,81,18.8333,-72.1053,81.32,overcast clouds,1.28
121,Faanui,64,NE,2021-06-01 02:08:48,68,-16.4833,-151.75,78.46,broken clouds,13.67
122,Mayo,1,NE,2021-06-01 02:08:48,86,38.8876,-76.5119,64.51,clear sky,5.86
123,Cabo San Lucas,2,NE,2021-06-01 02:08:37,60,22.8909,-109.9124,89.51,clear sky,9.57
124,Shadegan,0,NE,2021-06-01 02:08:49,11,30.6497,48.6647,87.71,clear sky,15.32
125,Klaksvik,100,NE,2021-06-01 02:08:49,97,62.2266,-6.589,47.32,overcast clouds,15.48
126,Clyde River,23,NE,2021-06-01 02:08:49,97,70.4692,-68.5914,21.61,few clouds,1.79
127,Samarai,99,NE,2021-06-01 02:08:49,73,-10.6167,150.6667,79.21,overcast clouds,16.93
128,Ornes,89,NE,2021-06-01 02:08:49,83,66.8689,13.7078,46.85,overcast clouds,5.35
129,Sao Felix Do Xingu,4,NE,2021-06-01 02:08:50,74,-6.6447,-51.995,70.36,clear sky,2.28
130,Marienburg,100,NE,2021-06-01 02:08:50,87,54.0359,19.0266,51.89,overcast clouds,3.62
131,Aleksinac,99,NE,2021-06-01 02:08:50,95,43.5417,21.7078,52.56,overcast clouds,3.33
132,Touros,4,NE,2021-06-01 02:08:50,89,-5.1989,-35.4608,76.1,clear sky,9.46
133,Tukrah,10,NE,2021-06-01 02:08:51,81,32.5341,20.5791,67.26,clear sky,3.87
134,Luderitz,0,NE,2021-06-01 02:08:51,71,-26.6481,15.1594,56.28,clear sky,20.6
135,Vardo,100,NE,2021-06-01 02:08:51,84,70.3705,31.1107,40.05,overcast clouds,5.44
136,Codrington,100,NE,2021-06-01 02:08:51,41,-38.2667,141.9667,57.24,overcast clouds,14.52
137,Kavieng,79,NE,2021-06-01 02:08:52,73,-2.5744,150.7967,83.23,broken clouds,2.06
138,Asau,100,NE,2021-06-01 02:08:52,100,46.4333,26.4,52.75,light rain,6.55
139,Talnakh,100,NE,2021-06-01 02:08:52,83,69.4865,88.3972,33.64,overcast clouds,4.03
140,Graneros,70,NE,2021-06-01 02:08:52,42,-34.0667,-70.7333,54.39,broken clouds,3.71
141,Inhambane,81,NE,2021-06-01 02:08:52,83,-23.865,35.3833,68.11,broken clouds,6.02
142,Mount Gambier,100,NE,2021-06-01 02:08:53,36,-37.8333,140.7667,57.51,overcast clouds,9.48
143,Roald,21,NE,2021-06-01 02:08:53,100,62.5833,6.1333,51.91,mist,4.61
144,Mogadishu,66,NE,2021-06-01 02:08:53,84,2.0371,45.3438,78.06,broken clouds,17.69
145,East London,100,NE,2021-06-01 02:08:53,81,-33.0153,27.9116,58.33,overcast clouds,15.37
146,Lavrentiya,58,NE,2021-06-01 02:08:54,70,65.5833,-171.0,35.78,broken clouds,11.65
147,Labuhan,100,NE,2021-06-01 02:08:54,78,-6.8844,112.2051,81.88,overcast clouds,5.82
148,Sioux Lookout,31,NE,2021-06-01 02:08:54,56,50.1001,-91.917,56.89,scattered clouds,3.24
149,Khasan,100,NE,2021-06-01 02:08:54,94,42.4308,130.6434,54.88,light rain,10.0
150,Acarau,5,NE,2021-06-01 02:04:54,85,-2.8856,-40.12,77.72,clear sky,11.61
151,Saskylakh,100,NE,2021-06-01 02:08:54,98,71.9167,114.0833,36.18,light rain,11.97
152,Hobyo,11,NE,2021-06-01 02:08:55,87,5.3505,48.5268,77.94,few clouds,20.76
153,Naze,89,NE,2021-06-01 02:04:31,69,28.3667,129.4833,73.0,overcast clouds,18.7
154,Wad Rawah,33,NE,2021-06-01 02:08:55,16,15.1603,33.1397,93.13,scattered clouds,8.43
155,Bodden Town,20,NE,2021-06-01 02:08:55,61,19.2833,-81.25,82.4,few clouds,11.45
156,Kapoeta,35,NE,2021-06-01 02:08:55,45,4.7717,33.5903,79.63,scattered clouds,16.08
157,Nizhniy Baskunchak,0,NE,2021-06-01 02:08:56,84,48.2198,46.8311,65.44,clear sky,7.45
158,Tuktoyaktuk,70,NE,2021-06-01 02:08:56,82,69.4541,-133.0374,32.86,broken clouds,9.86
159,Coahuayana,100,NE,2021-06-01 02:08:56,83,18.7333,-103.6833,81.84,overcast clouds,2.35
160,Norman Wells,86,NE,2021-06-01 02:08:57,52,65.282,-126.8329,62.35,overcast clouds,5.06
161,Victoria,100,NE,2021-06-01 02:08:57,95,22.2855,114.1577,84.16,light rain,5.01
162,Gouyave,40,NE,2021-06-01 02:08:57,74,12.1646,-61.7296,79.57,scattered clouds,19.86
163,Poronaysk,2,NE,2021-06-01 02:08:57,69,49.2167,143.1167,48.96,clear sky,9.13
164,Mehamn,100,NE,2021-06-01 02:08:57,97,71.0357,27.8492,41.76,overcast clouds,5.61
165,Leningradskiy,78,NE,2021-06-01 02:08:58,83,69.3833,178.4167,33.73,broken clouds,14.03
166,Atuona,12,NE,2021-06-01 02:08:58,72,-9.8,-139.0333,78.98,few clouds,10.13
167,Saint-Louis,100,NE,2021-06-01 02:08:58,69,16.3333,-15.0,73.98,overcast clouds,10.76
168,Castro,36,NE,2021-06-01 02:08:58,98,-24.7911,-50.0119,52.32,scattered clouds,2.33
169,Esperance,99,NE,2021-06-01 02:14:19,71,-33.8667,121.9,58.82,overcast clouds,17.16
170,Ucluelet,100,NE,2021-06-01 02:07:43,78,48.9329,-125.5528,78.04,overcast clouds,1.01
171,Ancud,100,NE,2021-06-01 02:08:59,96,-41.8697,-73.8203,56.23,light rain,11.45
172,Wanaka,26,NE,2021-06-01 02:04:10,63,-44.7,169.15,50.85,scattered clouds,2.28
173,Portobelo,91,NE,2021-06-01 02:08:59,84,9.55,-79.65,81.05,overcast clouds,12.73
174,Ilulissat,20,NE,2021-06-01 02:08:59,80,69.2167,-51.1,32.02,few clouds,4.61
175,Price,1,NE,2021-06-01 02:09:00,13,39.5994,-110.8107,79.86,clear sky,12.66
176,Guantanamo,100,NE,2021-06-01 02:09:00,84,20.1444,-75.2092,81.97,overcast clouds,4.61
177,Gamboma,100,NE,2021-06-01 02:09:00,67,-1.8764,15.8644,75.67,overcast clouds,2.15
178,Conde,75,NE,2021-06-01 02:09:01,94,-7.2597,-34.9075,74.66,broken clouds,7.23
179,Balaipungut,67,NE,2021-06-01 02:09:01,70,1.05,101.2833,81.01,broken clouds,4.23
180,Sitka,90,NE,2021-06-01 02:09:01,87,57.0531,-135.33,53.49,light rain,10.36
181,Cabrero,100,NE,2021-06-01 02:09:01,95,-37.0333,-72.4,57.51,light rain,10.51
182,Maningrida,56,NE,2021-06-01 02:09:02,59,-12.0667,134.2667,84.4,broken clouds,10.78
183,Lebu,100,NE,2021-06-01 02:09:02,99,-37.6167,-73.65,57.47,overcast clouds,11.36
184,Villafranca Di Verona,75,NE,2021-06-01 02:09:02,59,45.3524,10.8402,63.21,broken clouds,4.61
185,Lake Havasu City,1,NE,2021-06-01 02:09:02,9,34.4839,-114.3224,102.81,clear sky,8.01
186,Kikwit,33,NE,2021-06-01 02:09:03,44,-5.041,18.8162,67.82,scattered clouds,3.15
187,San Isidro,90,NE,2021-06-01 02:14:20,94,-12.1167,-77.05,64.02,overcast clouds,6.15
188,Saint-Philippe,49,NE,2021-06-01 02:04:25,81,-21.3585,55.7679,72.95,scattered clouds,9.22
189,Huaibei,89,NE,2021-06-01 02:09:03,35,33.9744,116.7917,86.07,overcast clouds,8.39
190,Puerto Ayora,11,NE,2021-06-01 02:09:03,90,-0.7393,-90.3518,74.55,few clouds,10.0
191,Nouakchott,44,NE,2021-06-01 02:06:06,86,18.0858,-15.9785,67.93,scattered clouds,12.77
192,Chuy,100,NE,2021-06-01 02:14:20,79,-33.6971,-53.4616,52.47,light rain,8.01
